is_preferred_configuration,gate,direction,movstat_sum,movstat_sum_more,tester_sum,tester_sum_more,hit,mistake [%],real_mistake [%],correct [%],Test ID,Instance,Camera,Camera version,Movie,MovStat ver.,No movements,processed_image_size,ml_enabled,ml_max_conf_thresh,ml_only_ml_input,ml_model_file_path,scale,algorithm,morphology_size,x_cluster_dist,y_cluster_dist,max_object_frame_interval,min_frames_in_gate_range,filter_slow_objects,keep_lost_objects_max_frames,split_bigger_objects,object_size_gate_range,custom_avg_factor,nSamples,replaceRate,propagationRate,hitsThreshold,alpha,beta,blinkingSupressionDecay,blinkingSupressionMultiplier,noiseRemovalThresholdFacBG,noiseRemovalThresholdFacFG,subconfiguration_index,subconfig,optimize
1,11,IN,8,0,9,1,8,11.11,11.11,88.89,9018690,,Cam 2 Entrance 1,5053,http://storage.movstat.com/000600/1739/0072020100615.mp4,3.1.1.270,,240,0,,,,,GSOC,0,570,1,3,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,10,10,0,0,0,0,0,0,9018690,,Cam 2 Entrance 1,5053,http://storage.movstat.com/000600/1739/0072020100615.mp4,3.1.1.270,,240,0,,,,,GSOC,0,570,1,3,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,6,1,7,2,5,14.29,42.86,71.43,9018691,,Cam 2 Entrance 1,5053,http://storage.movstat.com/000600/1739/0072020100611.mp4,3.1.1.270,,240,0,,,,,GSOC,0,570,1,3,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,4,4,0,0,0,0,0,0,9018691,,Cam 2 Entrance 1,5053,http://storage.movstat.com/000600/1739/0072020100611.mp4,3.1.1.270,,240,0,,,,,GSOC,0,570,1,3,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,18,2,23,7,16,21.74,39.13,69.57,9018692,,Cam 2 Entrance 1,5053,http://storage.movstat.com/000600/1739/0072020100618.mp4,3.1.1.270,,240,0,,,,,GSOC,0,570,1,3,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,17,17,0,0,0,0,0,0,9018692,,Cam 2 Entrance 1,5053,http://storage.movstat.com/000600/1739/0072020100618.mp4,3.1.1.270,,240,0,,,,,GSOC,0,570,1,3,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
