is_preferred_configuration,gate,direction,movstat_sum,movstat_sum_more,tester_sum,tester_sum_more,hit,mistake [%],real_mistake [%],correct [%],Test ID,Instance,Camera,Camera version,Movie,MovStat ver.,No movements,processed_image_size,ml_enabled,ml_max_conf_thresh,ml_only_ml_input,ml_model_file_path,scale,algorithm,morphology_size,x_cluster_dist,y_cluster_dist,max_object_frame_interval,min_frames_in_gate_range,filter_slow_objects,keep_lost_objects_max_frames,split_bigger_objects,object_size_gate_range,custom_avg_factor,nSamples,replaceRate,propagationRate,hitsThreshold,alpha,beta,blinkingSupressionDecay,blinkingSupressionMultiplier,noiseRemovalThresholdFacBG,noiseRemovalThresholdFacFG,subconfiguration_index,subconfig,optimize
1,11,IN,31,1,42,12,30,26.19,30.95,71.43,9018660,,Cam 2 Entrance 1,5040,http://storage.movstat.com/000592/1719/0122020092918.mp4,3.1.1.270,,240,0,,,,,GSOC,0,490,1,3,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,25,25,0,0,0,0,0,0,9018660,,Cam 2 Entrance 1,5040,http://storage.movstat.com/000592/1719/0122020092918.mp4,3.1.1.270,,240,0,,,,,GSOC,0,490,1,3,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,9,0,12,3,9,25,25,75,9018661,,Cam 2 Entrance 1,5040,http://storage.movstat.com/000592/1719/0122020092911.mp4,3.1.1.270,,240,0,,,,,GSOC,0,490,1,3,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,10,10,0,0,0,0,0,0,9018661,,Cam 2 Entrance 1,5040,http://storage.movstat.com/000592/1719/0122020092911.mp4,3.1.1.270,,240,0,,,,,GSOC,0,490,1,3,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,9,0,10,1,9,10,10,90,9018662,,Cam 2 Entrance 1,5040,http://storage.movstat.com/000592/1719/0122020092915.mp4,3.1.1.270,,240,0,,,,,GSOC,0,490,1,3,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,11,11,0,0,0,0,0,0,9018662,,Cam 2 Entrance 1,5040,http://storage.movstat.com/000592/1719/0122020092915.mp4,3.1.1.270,,240,0,,,,,GSOC,0,490,1,3,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
