is_preferred_configuration,gate,direction,movstat_sum,movstat_sum_more,tester_sum,tester_sum_more,hit,mistake [%],real_mistake [%],correct [%],Test ID,Instance,Camera,Camera version,Movie,MovStat ver.,No movements,processed_image_size,ml_enabled,ml_max_conf_thresh,ml_only_ml_input,ml_model_file_path,scale,algorithm,morphology_size,x_cluster_dist,y_cluster_dist,max_object_frame_interval,min_frames_in_gate_range,filter_slow_objects,keep_lost_objects_max_frames,split_bigger_objects,object_size_gate_range,custom_avg_factor,nSamples,replaceRate,propagationRate,hitsThreshold,alpha,beta,blinkingSupressionDecay,blinkingSupressionMultiplier,noiseRemovalThresholdFacBG,noiseRemovalThresholdFacFG,subconfiguration_index,subconfig,optimize
1,11,IN,4,2,2,0,2,100,100,100,9018636,,Camera 2 IN/OUT_1,5056,http://storage.movstat.com/000570/1645/0012020091516.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,490,1,4,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,3,3,0,0,0,0,0,0,9018636,,Camera 2 IN/OUT_1,5056,http://storage.movstat.com/000570/1645/0012020091516.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,490,1,4,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,9,2,9,2,7,0,44.44,77.78,9018637,,Camera 2 IN/OUT_1,5056,http://storage.movstat.com/000570/1645/0012020091518.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,490,1,4,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,10,10,0,0,0,0,0,0,9018637,,Camera 2 IN/OUT_1,5056,http://storage.movstat.com/000570/1645/0012020091518.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,490,1,4,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,14,1,14,1,13,0,14.29,92.86,9018638,,Camera 2 IN/OUT_1,5056,http://storage.movstat.com/000570/1645/0012020091517.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,490,1,4,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,7,7,0,0,0,0,0,0,9018638,,Camera 2 IN/OUT_1,5056,http://storage.movstat.com/000570/1645/0012020091517.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,490,1,4,4,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
