is_preferred_configuration,gate,direction,movstat_sum,movstat_sum_more,tester_sum,tester_sum_more,hit,mistake [%],real_mistake [%],correct [%],Test ID,Instance,Camera,Camera version,Movie,MovStat ver.,No movements,processed_image_size,ml_enabled,ml_max_conf_thresh,ml_only_ml_input,ml_model_file_path,scale,algorithm,morphology_size,x_cluster_dist,y_cluster_dist,max_object_frame_interval,min_frames_in_gate_range,filter_slow_objects,keep_lost_objects_max_frames,split_bigger_objects,object_size_gate_range,custom_avg_factor,nSamples,replaceRate,propagationRate,hitsThreshold,alpha,beta,blinkingSupressionDecay,blinkingSupressionMultiplier,noiseRemovalThresholdFacBG,noiseRemovalThresholdFacFG,subconfiguration_index,subconfig,optimize
1,11,IN,38,6,40,8,32,5,35,80,9018618,,Camera 2 IN/OUT_1,5038,http://storage.movstat.com/000551/1594/0052020090514.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,69,69,0,0,0,0,0,0,9018618,,Camera 2 IN/OUT_1,5038,http://storage.movstat.com/000551/1594/0052020090514.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,33,1,38,6,32,13.16,18.42,84.21,9018619,,Camera 2 IN/OUT_1,5038,http://storage.movstat.com/000551/1594/0052020090517.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,59,59,0,0,0,0,0,0,9018619,,Camera 2 IN/OUT_1,5038,http://storage.movstat.com/000551/1594/0052020090517.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,53,11,74,32,42,28.38,58.11,56.76,9018620,,Camera 2 IN/OUT_1,5038,http://storage.movstat.com/000551/1594/0052020090512.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,64,64,0,0,0,0,0,0,9018620,,Camera 2 IN/OUT_1,5038,http://storage.movstat.com/000551/1594/0052020090512.mp4,3.1.1.270,,240,0,,,,1: 1 | 2: 1,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
