is_preferred_configuration,gate,direction,movstat_sum,movstat_sum_more,tester_sum,tester_sum_more,hit,mistake [%],real_mistake [%],correct [%],Test ID,Instance,Camera,Camera version,Movie,MovStat ver.,No movements,processed_image_size,ml_enabled,ml_max_conf_thresh,ml_only_ml_input,ml_model_file_path,scale,algorithm,morphology_size,x_cluster_dist,y_cluster_dist,max_object_frame_interval,min_frames_in_gate_range,filter_slow_objects,keep_lost_objects_max_frames,split_bigger_objects,object_size_gate_range,custom_avg_factor,nSamples,replaceRate,propagationRate,hitsThreshold,alpha,beta,blinkingSupressionDecay,blinkingSupressionMultiplier,noiseRemovalThresholdFacBG,noiseRemovalThresholdFacFG,subconfiguration_index,subconfig,optimize
1,11,IN,39,6,40,7,33,2.5,32.5,82.5,9019239,,Camera 2 IN/OUT_1,5348,http://storage.movstat.com/000551/1594/0052020090514.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,67,67,0,0,0,0,0,0,9019239,,Camera 2 IN/OUT_1,5348,http://storage.movstat.com/000551/1594/0052020090514.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,35,0,38,3,35,7.89,7.89,92.11,9019240,,Camera 2 IN/OUT_1,5348,http://storage.movstat.com/000551/1594/0052020090517.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,54,54,0,0,0,0,0,0,9019240,,Camera 2 IN/OUT_1,5348,http://storage.movstat.com/000551/1594/0052020090517.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,65,8,74,17,57,12.16,33.78,77.03,9019241,,Camera 2 IN/OUT_1,5348,http://storage.movstat.com/000551/1594/0052020090512.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,62,62,0,0,0,0,0,0,9019241,,Camera 2 IN/OUT_1,5348,http://storage.movstat.com/000551/1594/0052020090512.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,290,1,3,3,0,0,1,11: 1.5 | 11: 1.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
