is_preferred_configuration,gate,direction,movstat_sum,movstat_sum_more,tester_sum,tester_sum_more,hit,mistake [%],real_mistake [%],correct [%],Test ID,Instance,Camera,Camera version,Movie,MovStat ver.,No movements,processed_image_size,ml_enabled,ml_max_conf_thresh,ml_only_ml_input,ml_model_file_path,scale,algorithm,morphology_size,x_cluster_dist,y_cluster_dist,max_object_frame_interval,min_frames_in_gate_range,filter_slow_objects,keep_lost_objects_max_frames,split_bigger_objects,object_size_gate_range,custom_avg_factor,nSamples,replaceRate,propagationRate,hitsThreshold,alpha,beta,blinkingSupressionDecay,blinkingSupressionMultiplier,noiseRemovalThresholdFacBG,noiseRemovalThresholdFacFG,subconfiguration_index,subconfig,optimize
1,12,IN,20,0,22,2,20,9.09,9.09,90.91,9018678,,Cam 3 Entrance 2,5075,http://storage.movstat.com/000598/1732/0142020100618.mp4,3.1.1.270,,240,0,,,,,GSOC,0,410,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,12,OUT,19,19,0,0,0,0,0,0,9018678,,Cam 3 Entrance 2,5075,http://storage.movstat.com/000598/1732/0142020100618.mp4,3.1.1.270,,240,0,,,,,GSOC,0,410,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,12,IN,7,1,6,0,6,16.67,16.67,100,9018679,,Cam 3 Entrance 2,5075,http://storage.movstat.com/000598/1732/0142020100611.mp4,3.1.1.270,,240,0,,,,,GSOC,0,410,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,12,OUT,6,6,0,0,0,0,0,0,9018679,,Cam 3 Entrance 2,5075,http://storage.movstat.com/000598/1732/0142020100611.mp4,3.1.1.270,,240,0,,,,,GSOC,0,410,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,12,IN,4,1,3,0,3,33.33,33.33,100,9018680,,Cam 3 Entrance 2,5075,http://storage.movstat.com/000598/1732/0142020100615.mp4,3.1.1.270,,240,0,,,,,GSOC,0,410,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,12,OUT,3,3,0,0,0,0,0,0,9018680,,Cam 3 Entrance 2,5075,http://storage.movstat.com/000598/1732/0142020100615.mp4,3.1.1.270,,240,0,,,,,GSOC,0,410,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
