is_preferred_configuration,gate,direction,movstat_sum,movstat_sum_more,tester_sum,tester_sum_more,hit,mistake [%],real_mistake [%],correct [%],Test ID,Instance,Camera,Camera version,Movie,MovStat ver.,No movements,processed_image_size,ml_enabled,ml_max_conf_thresh,ml_only_ml_input,ml_model_file_path,scale,algorithm,morphology_size,x_cluster_dist,y_cluster_dist,max_object_frame_interval,min_frames_in_gate_range,filter_slow_objects,keep_lost_objects_max_frames,split_bigger_objects,object_size_gate_range,custom_avg_factor,nSamples,replaceRate,propagationRate,hitsThreshold,alpha,beta,blinkingSupressionDecay,blinkingSupressionMultiplier,noiseRemovalThresholdFacBG,noiseRemovalThresholdFacFG,subconfiguration_index,subconfig,optimize
1,11,IN,6,0,6,0,6,0,0,100,9057242,,Camera 2 IN/OUT_1,5351,http://storage.movstat.com/000586/1701/0042020092914.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,790,1,5,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,22,22,0,0,0,0,0,0,9057242,,Camera 2 IN/OUT_1,5351,http://storage.movstat.com/000586/1701/0042020092914.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,790,1,5,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,2,0,3,1,2,33.33,33.33,66.67,9057243,,Camera 2 IN/OUT_1,5351,http://storage.movstat.com/000586/1701/0042020092920.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,790,1,5,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,15,15,0,0,0,0,0,0,9057243,,Camera 2 IN/OUT_1,5351,http://storage.movstat.com/000586/1701/0042020092920.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,790,1,5,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,1,0,1,0,1,0,0,100,9057244,,Camera 2 IN/OUT_1,5351,http://storage.movstat.com/000586/1701/0042020092911.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,790,1,5,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,8,8,0,0,0,0,0,0,9057244,,Camera 2 IN/OUT_1,5351,http://storage.movstat.com/000586/1701/0042020092911.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,790,1,5,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
