is_preferred_configuration,gate,direction,movstat_sum,movstat_sum_more,tester_sum,tester_sum_more,hit,mistake [%],real_mistake [%],correct [%],Test ID,Instance,Camera,Camera version,Movie,MovStat ver.,No movements,processed_image_size,ml_enabled,ml_max_conf_thresh,ml_only_ml_input,ml_model_file_path,scale,algorithm,morphology_size,x_cluster_dist,y_cluster_dist,max_object_frame_interval,min_frames_in_gate_range,filter_slow_objects,keep_lost_objects_max_frames,split_bigger_objects,object_size_gate_range,custom_avg_factor,nSamples,replaceRate,propagationRate,hitsThreshold,alpha,beta,blinkingSupressionDecay,blinkingSupressionMultiplier,noiseRemovalThresholdFacBG,noiseRemovalThresholdFacFG,subconfiguration_index,subconfig,optimize
1,11,IN,11,3,12,4,8,8.33,58.33,66.67,9057212,,Camera 2 IN/OUT_1,5367,http://storage.movstat.com/000567/1640/0062020091515.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,280,1,6,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,20,20,0,0,0,0,0,0,9057212,,Camera 2 IN/OUT_1,5367,http://storage.movstat.com/000567/1640/0062020091515.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,280,1,6,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,15,2,14,1,13,7.14,21.43,92.86,9057213,,Camera 2 IN/OUT_1,5367,http://storage.movstat.com/000567/1640/0062020091513.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,280,1,6,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,20,20,0,0,0,0,0,0,9057213,,Camera 2 IN/OUT_1,5367,http://storage.movstat.com/000567/1640/0062020091513.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,280,1,6,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,11,IN,24,2,27,5,22,11.11,25.93,81.48,9057214,,Camera 2 IN/OUT_1,5367,http://storage.movstat.com/000567/1640/0062020091514.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,280,1,6,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,11,OUT,23,23,0,0,0,0,0,0,9057214,,Camera 2 IN/OUT_1,5367,http://storage.movstat.com/000567/1640/0062020091514.mp4,3.4.0.0,,240,1,0.5,1,pytorch_detector_v2_256x448.pt,,GSOC,0,280,1,6,4,0,0,1,11: 0.5 | 11: 0.5,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
